lon,lat,ws_mean
116.875,23.25,3.7835
117.0,23.25,5.2456
117.125,23.25,4.7593
117.25,23.25,3.4345
117.375,23.25,4.0312
117.5,23.25,4.0872
117.625,23.25,4.5857
117.75,23.25,4.5596
117.875,23.25,4.9181
118.0,23.25,4.5977
118.125,23.25,4.1278
118.25,23.25,3.7376
118.375,23.25,3.4029
118.5,23.25,2.9681
118.625,23.25,3.1819
118.75,23.25,3.3987
118.875,23.25,3.7822
119.0,23.25,4.0528
119.125,23.25,4.0567
119.25,23.25,4.396
119.375,23.25,5.0514
119.5,23.25,4.8621
119.625,23.25,4.0508
119.75,23.25,4.1021
119.875,23.25,2.8602
121.625,23.25,0.8792
121.75,23.25,0.1424
116.625,23.375,4.589
116.875,23.375,4.7782
117.0,23.375,3.4975
117.125,23.375,3.1156
117.25,23.375,3.816
117.375,23.375,4.7355
117.5,23.375,4.5172
117.625,23.375,4.5695
117.75,23.375,4.7864
117.875,23.375,4.5323
118.0,23.375,4.5854
118.125,23.375,4.4958
118.25,23.375,3.7185
118.375,23.375,3.43
118.5,23.375,3.1248
118.625,23.375,3.343
118.75,23.375,3.6959
118.875,23.375,4.1154
119.0,23.375,4.042
119.125,23.375,4.1402
119.25,23.375,4.5699
119.375,23.375,4.2115
119.5,23.375,4.7876
119.625,23.375,5.0736
119.75,23.375,4.6958
119.875,23.375,4.507
121.625,23.375,1.5098
121.75,23.375,0.8699
116.875,23.5,5.157
117.0,23.5,4.9151
117.125,23.5,4.5823
117.25,23.5,5.5538
117.5,23.5,5.2983
117.625,23.5,5.5078
117.75,23.5,4.7709
117.875,23.5,4.7105
118.0,23.5,4.478
118.125,23.5,4.4735
118.25,23.5,4.2849
118.375,23.5,3.7624
118.5,23.5,3.7242
118.625,23.5,3.7157
118.75,23.5,3.9673
118.875,23.5,4.0059
119.0,23.5,3.9066
119.125,23.5,4.0025
119.25,23.5,5.0382
119.375,23.5,6.2176
119.75,23.5,5.5665
119.875,23.5,5.149
121.625,23.5,2.8602
121.75,23.5,0.9965
117.0,23.625,4.955
117.25,23.625,5.1238
117.625,23.625,6.3943
117.75,23.625,6.3138
117.875,23.625,5.2306
118.0,23.625,4.3088
118.125,23.625,4.2607
118.25,23.625,3.9574
118.375,23.625,3.936
118.5,23.625,3.8253
118.625,23.625,3.8961
118.75,23.625,3.8412
118.875,23.625,3.8232
119.0,23.625,3.8048
119.125,23.625,3.776
119.25,23.625,4.2437
119.375,23.625,4.843
119.5,23.625,5.3192
119.625,23.625,5.026
119.75,23.625,4.8692
119.875,23.625,5.3827
121.75,23.625,1.5358
117.75,23.75,6.5405
117.875,23.75,4.9398
118.0,23.75,3.9271
118.125,23.75,3.5669
118.25,23.75,3.9586
118.375,23.75,4.2057
