¾­¶È,Î³¶È,f10,d10
117.22,23.63,1.375,171.95833333333334
117.23,23.6,1.7875,145.58333333333334
117.31,23.6,0.6458333333333334,108.83333333333333
117.35,23.74,0.7291666666666667,88.66666666666667
117.36,23.56,2.029166666666667,189.29166666666666
117.36,23.67,0.38333333333333336,31.166666666666668
117.41,23.59,2.341666666666667,88.75
117.46,23.65,1.5291666666666668,198.16666666666666
117.47,23.82,0.3826086956521739,39.65217391304348
117.48,23.7,1.1958333333333335,189.375
117.58,23.71,1.2750000000000001,77.45833333333333
117.62,23.84,0.5750000000000001,25.666666666666668
117.68,24.0,1.3083333333333336,215.20833333333334
117.71,23.78,1.9333333333333333,113.625
117.75,23.93,0.875,46.666666666666664
117.83,24.46,1.6958333333333333,182.66666666666666
117.9,24.03,1.5291666666666668,236.79166666666666
117.91,24.17,0.6708333333333334,40.416666666666664
117.96,24.46,1.1416666666666666,137.79166666666666
117.97,24.4,1.25,172.70833333333334
118.02,24.2,1.2000000000000002,174.70833333333334
118.02,24.54,1.8333333333333333,161.75
118.03,24.45,0.8208333333333334,85.0
118.04,24.41,1.1176470588235294,129.11764705882354
118.04,24.53,1.3791666666666667,167.66666666666666
118.05,24.44,0.5545454545454546,88.45454545454545
118.05,24.46,1.7125000000000001,119.45833333333333
118.06,24.56,2.025,181.33333333333334
118.07,24.57,1.5166666666666666,171.875
118.08,24.43,0.9541666666666666,126.91666666666667
118.08,24.58,1.6291666666666669,137.5
118.09,24.55,1.0416666666666667,127.29166666666667
118.12,24.3,1.2375,143.375
118.12,24.56,2.291666666666667,193.58333333333334
118.13,24.27,0.1,30.583333333333332
118.15,24.55,1.2833333333333334,152.25
118.16,24.63,1.9125,208.70833333333334
118.17,24.45,0.7875000000000001,147.33333333333334
118.17,24.58,2.1,174.54166666666666
118.18,24.45,1.2375,86.83333333333333
118.2,24.48,1.1583333333333334,123.0
118.22,24.53,1.425,151.91666666666666
118.28,24.56,1.1666666666666667,143.33333333333334
118.31,24.55,0.9875,149.20833333333334
118.43,24.63,1.075,189.08333333333334
118.45,24.56,1.625,213.91666666666666
118.57,24.51,1.0166666666666666,228.0625
118.62,24.79,0.22916666666666666,172.75
118.62,24.82,1.5458333333333334,183.33333333333334
118.63,24.56,1.1833333333333333,223.875
118.68,24.63,2.4583333333333335,229.33333333333334
118.7,24.87,1.625,173.70833333333334
118.71,24.81,1.3375000000000001,141.20833333333334
118.75,24.74,1.6208333333333333,148.70833333333334
118.76,24.76,1.225,168.83333333333334
